symbol,price,volume,market_cap,whale_movements,exchange_flow,active_addresses,tx_count,hash_rate,tvl,nvt,mvrv,sentiment
0G,1.283,15313052.73,19646646.6526,63,634284691.13,0,0,120000000,0,1.283,1.283,0.4926
1INCH,0.1872,24671019.3,4618414.813,1795,22761334045.67,1401865610.972439,14968892,120000000,248092862,0.1872,0.1872,0.4926
2Z,0.1253,16271306.0,2039282.781,53,10638108424.0,0,0,120000000,0,0.1253,0.1253,0.4926
A,0.21,8099064.3,1700803.503,180,2463464688.0,0,0,120000000,0,0.21,0.21,0.4926
A2Z,0.0032,139751982.0,442874.031,117,107162298484.0,0,0,120000000,0,0.0032,0.0032,0.4926
AAVE,165.57,49973.417,8274098.6527,1866,376168498.8847,15182711.871711506,320343554,120000000,3023515350,165.57,165.57,0.4926
ACA,0.0134,30348996.57,406676.554,1399,56296083583.61,0,0,120000000,0,0.0134,0.0134,0.4926
ACE,0.227,7444136.7,1689819.0309,707,2276031163.3,0,0,120000000,0,0.227,0.227,0.4926
ACH,0.0094,78994940.0,741762.4866,1414,451039989755.0,0,0,120000000,0,0.0094,0.0094,0.4926
ACM,0.528,483044.9,255047.7072,1734,1215756394.335,0,0,120000000,0,0.528,0.528,0.4926
ACT,0.0208,150705152.2,3134667.1658,378,79602110080.6,0,0,120000000,0,0.0208,0.0208,0.4926
ACX,0.0604,2560144.2,154632.7097,353,5228576186.1,0,0,120000000,0,0.0604,0.0604,0.4926
ADA,0.4166,76638401.0,31927557.8566,2778,624909250261.45,0,0,120000000,0,0.4166,0.4166,0.4926
ADX,0.1124,1342194.0,150862.6056,1487,15080414065.0,0,0,120000000,0,0.1124,0.1124,0.4926
AERGO,0.0635,1380289.0,87648.3515,694,10214171973.0,472499995.7689212,53998177,120000000,31740071,0.0635,0.0635,0.4926
AEUR,1.1347,8717.8,9892.0877,719,859848961.5,0,0,120000000,0,1.1347,1.1347,0.4926
AEVO,0.0485,22921405.24,1111688.1541,621,18928716580.62,0,0,120000000,0,0.0485,0.0485,0.4926
AGLD,0.293,1036935.5,303822.1015,1511,6708354315.2,0,0,120000000,0,0.293,0.293,0.4926
AI,0.051,17821997.6,908921.8776,690,15985782458.1,999872843.863525,315216,120000000,159183,0.051,0.051,0.4926
AIXBT,0.0436,37043744.7,1615107.2689,318,34472234688.8,994658423.1010208,9217887,120000000,36765320,0.0436,0.0436,0.4926
ALCX,9.87,116626.5083,1151103.6369,1455,108303286.6677,0,0,120000000,0,9.87,9.87,0.4926
ALGO,0.1422,18288699.0,2600652.9978,2347,110874420958.185,0,0,120000000,0,0.1422,0.1422,0.4926
ALICE,0.241,68196622.62,16435386.0514,1715,7682018645.91,0,0,120000000,0,0.241,0.241,0.4926
ALLO,0.1558,53373840.3,8315644.3187,13,2350292430.0,1800000000.0,963603,120000000,5737268,0.1558,0.1558,0.4926
ALPACA,0.2244,23130359.7,5190452.7167,1361,21050489370.6,10922261.1246256,11832.37,120000000,20527,0.2244,0.2244,0.4926
ALPHA,0.0097,57626108.0,558973.2476,1729,57777045650.56,0,0,120000000,0,0.0097,0.0097,0.4926
ALPINE,0.602,935816.22,563361.3644,1372,2885976922.01,0,0,120000000,0,0.602,0.602,0.4926
ALT,0.0137,106445412.0,1457237.6903,669,90971862988.0,0,0,120000000,0,0.0137,0.0137,0.4926
AMB,0.0003,1265288960.0,404892.4672,725,362046624518.0,0,0,120000000,0,0.0003,0.0003,0.4926
AMP,0.0022,156281229.0,349601.1093,1462,1082080311133.0,0,0,120000000,0,0.0022,0.0022,0.4926
ANIME,0.007,793731766.7,5532310.4139,305,96058986307.0,5538604656.0,6980547,120000000,37174464,0.007,0.007,0.4926
ANKR,0.008,40188245.6,321907.8473,2316,517301854091.0,10000000000.0,4954756,120000000,74379399,0.008,0.008,0.4926
ANT,7.407,32974.0,244238.418,1287,1765204310.03,0,0,120000000,0,7.407,7.407,0.4926
APE,0.2845,3990680.51,1135348.6051,1348,16342940622.81,0,0,120000000,0,0.2845,0.2845,0.4926
API3,0.536,1106562.83,593117.6769,1403,4634288265.74,138705304.4453834,8978993,120000000,66256236,0.536,0.536,0.4926
APT,2.354,2643071.34,6221789.9344,1132,6494035797.0,0,0,120000000,0,2.354,2.354,0.4926
AR,3.81,856548.54,3263449.9374,1655,1494905668.42,0,0,120000000,0,3.81,3.81,0.4926
ARB,0.2031,37991909.9,7716156.9007,977,82918645844.5,0,0,120000000,0,0.2031,0.2031,0.4926
ARDR,0.059,7576517.0,447241.7985,2019,25484846223.0,0,0,120000000,0,0.059,0.059,0.4926
ARK,0.2735,6746135.0,1845067.9225,794,6730152353.0,192134698.0,911728,120000000,54643850,0.2735,0.2735,0.4926
ARKM,0.241,4374429.0,1054237.389,860,17148508345.8,0,0,120000000,0,0.241,0.241,0.4926
ARPA,0.0149,23587436.0,352396.2938,2210,247554894888.8,982174603.2857143,3576005,120000000,13661722,0.0149,0.0149,0.4926
ASR,1.366,235157.7,321225.4182,1790,1467864498.145,0,0,120000000,0,1.366,1.366,0.4926
AST,0.0261,4236683.0,110577.4263,680,9476076879.0,0,0,120000000,0,0.0261,0.0261,0.4926
ASTER,1.104,131349151.12,145009462.8365,49,10157164167.33,0,0,120000000,0,1.104,1.104,0.4926
ASTR,0.0128,39661776.3,506480.8834,1365,122996661437.9,0,0,120000000,0,0.0128,0.0128,0.4926
ATA,0.0218,32084685.0,699446.133,1631,41088193417.0,0,0,120000000,0,0.0218,0.0218,0.4926
ATM,0.901,293728.78,264649.6308,1790,1181099434.222,0,0,120000000,0,0.901,0.901,0.4926
ATOM,2.538,1358798.79,3448631.329,2401,6791303107.956,0,0,120000000,0,2.538,2.538,0.4926
AUCTION,5.48,91338.61,500535.5828,1487,687132945.01,7090333.892921738,9138821,120000000,38466445,5.48,5.48,0.4926
AUDIO,0.0341,16755718.5,571370.0008,1858,34976304154.76,0,0,120000000,0,0.0341,0.0341,0.4926
AUTO,95.3,4281.543,408031.0479,679,4411295.2232,0,0,120000000,0,95.3,95.3,0.4926
AVA,0.304,2592882.2,788236.1888,1826,3716310699.68,0,0,120000000,0,0.304,0.304,0.4926
AVAX,13.38,1477579.62,19770015.3156,1889,5509754209.813,0,0,120000000,0,13.38,13.38,0.4926
AVNT,0.3888,9828788.9,3821433.1243,70,6749964956.8,0,0,120000000,0,0.3888,0.3888,0.4926
AWE,0.0506,115115576.0,5823696.9898,187,6158804504.0,0,0,120000000,0,0.0506,0.0506,0.4926
AXL,0.1314,3892313.03,511449.9321,633,5572208408.96,0,0,120000000,0,0.1314,0.1314,0.4926
AXS,1.114,886710.52,987795.5193,1846,4710096503.15,0,0,120000000,0,1.114,1.114,0.4926
BABY,0.0204,41033780.0,838730.4632,228,25474957307.0,954566981182.3198,38.22,120000000,47289,0.0204,0.0204,0.4926
BADGER,0.762,133847.46,101991.7645,1507,1009517976.132,0,0,120000000,0,0.762,0.762,0.4926
BAKE,0.0519,51194747.3,2657007.3849,1602,55673640160.1,0,0,120000000,0,0.0519,0.0519,0.4926
BAL,0.967,103678.32,100256.9354,1710,536801952.129,0,0,120000000,0,0.967,0.967,0.4926
BANANA,7.28,265558.293,1933264.373,492,121223911.894,5125987.3948424375,4.29,120000000,394436,7.28,7.28,0.4926
BANANAS31,0.0034,2443422586.0,8415147.3862,242,300151029067.0,0,0,120000000,0,0.0034,0.0034,0.4926
BAND,0.383,1002727.0,384044.441,2259,4266678176.643,0,0,120000000,0,0.383,0.383,0.4926
BANK,0.0442,47121326.7,2082762.6401,11,2150341880.4,0,0,120000000,0,0.0442,0.0442,0.4926
BAR,0.57,398758.84,227292.5388,1678,971050582.558,0,0,120000000,0,0.57,0.57,0.4926
BARD,0.7145,767359.6,548278.4342,67,2114487462.3,0,0,120000000,0,0.7145,0.7145,0.4926
BAT,0.1925,19687271.0,3789799.6675,2457,39872604298.65,0,0,120000000,0,0.1925,0.1925,0.4926
BB,0.0716,10964947.2,785090.2195,560,24974791507.6,0,0,120000000,0,0.0716,0.0716,0.4926
